Huffman Encoding Report (Word-Level)
Total Tokens: 2291808
Unique Symbols: 31615
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
poor                 | 615        | 101000110000         | 7380
Well                 | 615        | 101000101110         | 7380
could                | 612        | 101000101001         | 7344
house                | 608        | 101000010111         | 7296
part                 | 606        | 101000001111         | 7272
brother              | 604        | 101000001101         | 7248
lady                 | 603        | 100111111101         | 7236
better               | 601        | 100111111011         | 7212
both                 | 592        | 100111101000         | 7104
call                 | 591        | 100111100111         | 7092
still                | 585        | 100111010101         | 7020
into                 | 585        | 100111010111         | 7020
nothing              | 576        | 100110100101         | 6912
dead                 | 576        | 100110100100         | 6912
many                 | 574        | 100110011010         | 6888
They                 | 572        | 100110010110         | 6864
Good                 | 572        | 100110011000         | 6864
Do                   | 569        | 100110010000         | 6828
pray                 | 569        | 100110010001         | 6828
head                 | 568        | 100110001010         | 6816
Go                   | 563        | 100110000001         | 6756
king                 | 560        | 100101010101         | 6720
hast                 | 555        | 100101001001         | 6660
find                 | 543        | 100100100000         | 6516
bear                 | 542        | 100011110100         | 6504
myself               | 540        | 100011101010         | 6480
master               | 539        | 100011100111         | 6468
Be                   | 536        | 100010011111         | 6432
Nay                  | 535        | 100010011001         | 6420
off                  | 533        | 100010011000         | 6396
live                 | 531        | 100001111100         | 6372
OF                   | 529        | 100001111000         | 6348
wife                 | 528        | 100001110100         | 6336
word                 | 524        | 100001100010         | 6288
RICHARD              | 522        | 100001001100         | 6264
little               | 521        | 100001001001         | 6252
those                | 517        | 100000101110         | 6204
place                | 517        | 100000101111         | 6204
eye                  | 515        | 100000100100         | 6180
SECOND               | 510        | 011111010000         | 6120
might                | 510        | 011111001110         | 6120
Not                  | 509        | 011111001101         | 6108
Will                 | 507        | 011111001001         | 6084
first                | 506        | 011111000001         | 6072
die                  | 502        | 011110111010         | 6024
Shall                | 497        | 011110101011         | 5964
stand                | 497        | 011110110010         | 5964
soul                 | 494        | 011110011110         | 5928
friend               | 493        | 011110011010         | 5916
long                 | 491        | 011110010100         | 5892
QUEEN                | 487        | 011101101101         | 5844
face                 | 486        | 011101101011         | 5832
friends              | 485        | 011101101010         | 5820
thine                | 482        | 011101100000         | 5784
best                 | 481        | 011101010101         | 5772
Yet                  | 480        | 011101001011         | 5760
himself              | 480        | 011101000010         | 5760
daughter             | 480        | 011101010000         | 5760
gone                 | 476        | 011100110001         | 5712
FALSTAFF             | 475        | 011100100101         | 5700
put                  | 472        | 011100011010         | 5664
against              | 470        | 011100011000         | 5640
every                | 469        | 011100010110         | 5628
keep                 | 468        | 011100010100         | 5616
Have                 | 467        | 011100010000         | 5604
DUKE                 | 467        | 011100010010         | 5604
Caesar               | 466        | 011011111111         | 5592
young                | 459        | 011011100100         | 5508
set                  | 459        | 011011100101         | 5508
none                 | 457        | 011011011110         | 5484
tongue               | 448        | 011010011110         | 5376
woman                | 448        | 011010100100         | 5376
till                 | 448        | 011010110010         | 5376
Than                 | 447        | 011010001101         | 5364
Thy                  | 444        | 011001111110         | 5328
show                 | 443        | 011001101111         | 5316
All                  | 443        | 011001101110         | 5316
dear                 | 441        | 011001101100         | 5292
full                 | 440        | 011001100001         | 5280
whose                | 437        | 011000111010         | 5244
words                | 437        | 011000111001         | 5244
though               | 436        | 011000111000         | 5232
II                   | 433        | 011000011100         | 5196
mother               | 421        | 010110111110         | 5052
said                 | 420        | 010110111001         | 5040
another              | 418        | 010110110011         | 5016
France               | 418        | 010110110010         | 5016
else                 | 417        | 010110110000         | 5004
same                 | 416        | 010110011101         | 4992
forth                | 413        | 010110010100         | 4956
Our                  | 413        | 010110010011         | 4956
bring                | 412        | 010110010001         | 4944
hold                 | 410        | 010110001100         | 4920
once                 | 408        | 010100110100         | 4896
thought              | 406        | 010100100010         | 4872
peace                | 403        | 010011010010         | 4836
Rome                 | 403        | 010011010001         | 4836
mind                 | 400        | 010001110111         | 4800
fool                 | 398        | 010001011011         | 4776
has                  | 398        | 010001110010         | 4776
answer               | 395        | 010001010100         | 4740
unto                 | 394        | 010001000110         | 4728
HENRY                | 393        | 010001000100         | 4716
From                 | 390        | 010000100101         | 4680
about                | 387        | 010000011001         | 4644
Nor                  | 386        | 010000011000         | 4632
hope                 | 383        | 000111010011         | 4596
rest                 | 382        | 000111010000         | 4584
stay                 | 381        | 000111001010         | 4572
ACT                  | 380        | 000111000010         | 4560
heard                | 375        | 000101101111         | 4500
‘                    | 373        | 000101100100         | 4476
gentle               | 373        | 000101100101         | 4476
boy                  | 373        | 000101100110         | 4476
III                  | 372        | 000101011001         | 4464
whom                 | 369        | 000101010000         | 4428
sword                | 369        | 000101010001         | 4428
after                | 368        | 000100110010         | 4416
indeed               | 368        | 000100101010         | 4416
matter               | 366        | 000100001101         | 4392
three                | 365        | 000100001010         | 4380
HAMLET               | 364        | 000100000101         | 4368
thing                | 364        | 000100000110         | 4368
cause                | 363        | 000100000010         | 4356
grace                | 361        | 000100000000         | 4332
dost                 | 360        | 1011011101000        | 4680
Are                  | 358        | 1011011001111        | 4654
power                | 358        | 1011011010111        | 4654
right                | 357        | 1011011001011        | 4641
gods                 | 357        | 1011011001100        | 4641
back                 | 355        | 1011011000101        | 4615
nature               | 355        | 1011011000111        | 4615
fall                 | 355        | 1011011000100        | 4615
please               | 355        | 1011011000110        | 4615
therefore            | 351        | 1011000111101        | 4563
Upon                 | 350        | 1011000111000        | 4550
end                  | 350        | 1011000110011        | 4550
thousand             | 350        | 1011000110101        | 4550
home                 | 350        | 1011000111001        | 4550
Give                 | 350        | 1011000111011        | 4550
makes                | 350        | 1011000111010        | 4550
even                 | 349        | 1011000110010        | 4537
hour                 | 347        | 1011000011101        | 4511
lords                | 346        | 1011000011000        | 4498
husband              | 345        | 1010111111110        | 4485
truth                | 345        | 1010111111011        | 4485
within               | 344        | 1010111110001        | 4472
shame                | 342        | 1010111101000        | 4446
use                  | 341        | 1010111100111        | 4433
state                | 341        | 1010111100101        | 4433
John                 | 340        | 1010111100100        | 4420
earth                | 339        | 1010111100001        | 4407
hands                | 339        | 1010111010001        | 4407
faith                | 339        | 1010111010000        | 4407
madam                | 339        | 1010111100000        | 4407
i                    | 339        | 1010111010011        | 4407
bed                  | 334        | 1010110110000        | 4342
Master               | 334        | 1010110110111        | 4342
things               | 332        | 1010110101101        | 4316
play                 | 331        | 1010110101000        | 4303
near                 | 331        | 1010110100111        | 4303
came                 | 327        | 1010110000111        | 4251
England              | 325        | 1010110000110        | 4225
hence                | 324        | 1010101101100        | 4212
tears                | 324        | 1010101101101        | 4212
meet                 | 319        | 1010100100010        | 4147
lie                  | 319        | 1010100100011        | 4147
news                 | 319        | 1010100100001        | 4147
ere                  | 318        | 1010100100000        | 4134
body                 | 318        | 1010100011011        | 4134
without              | 318        | 1010100011001        | 4134
enough               | 314        | 1010010101010        | 4082
_To                  | 314        | 1010010101000        | 4082
fellow               | 314        | 1010010111001        | 4082
shalt                | 313        | 1010010011111        | 4069
fire                 | 313        | 1010010011110        | 4069
false                | 312        | 1010010010000        | 4056
light                | 311        | 1010001111101        | 4043
does                 | 311        | 1010001111100        | 4043
Queen                | 311        | 1010001111110        | 4043
An                   | 310        | 1010001101101        | 4030
gentleman            | 310        | 1010001101110        | 4030
1                    | 309        | 1010001101010        | 4017
CLOWN                | 308        | 1010001011111        | 4004
far                  | 307        | 1010001011001        | 3991
turn                 | 307        | 1010001011011        | 3991
reason               | 307        | 1010001011110        | 3991
ye                   | 306        | 1010001010110        | 3978
hither               | 306        | 1010001010111        | 3978
PRINCE               | 303        | 1010000011101        | 3939
Therefore            | 303        | 1010000101000        | 3939
since                | 302        | 1001111111110        | 3926
rather               | 302        | 1010000011000        | 3926
Hath                 | 301        | 1001111111000        | 3913
York                 | 301        | 1001111111001        | 3913
why                  | 300        | 1001111101011        | 3900
mean                 | 300        | 1001111101100        | 3900
seen                 | 299        | 1001111101010        | 3887
mistress             | 298        | 1001111100110        | 3874
Would                | 298        | 1001111100101        | 3874
LORD                 | 298        | 1001111100111        | 3874
help                 | 296        | 1001111010110        | 3848
Before               | 296        | 1001111010111        | 3848
bid                  | 295        | 1001111001100        | 3835
thank                | 295        | 1001111001101        | 3835
ill                  | 294        | 1001111000101        | 3822
youth                | 293        | 1001111000010        | 3809
Even                 | 293        | 1001111000001        | 3809
kill                 | 293        | 1001111000011        | 3809
honest               | 293        | 1001110101101        | 3809
Look                 | 292        | 1001110100111        | 3796
queen                | 292        | 1001110101000        | 3796
IV                   | 292        | 1001110101100        | 3796
arms                 | 292        | 1001110100101        | 3796
crown                | 291        | 1001110100011        | 3783
Henry                | 291        | 1001110100010        | 3783
fight                | 290        | 1001101110010        | 3770
last                 | 290        | 1001110100001        | 3770
cousin               | 290        | 1001110100000        | 3770
kind                 | 289        | 1001101110001        | 3757
follow               | 287        | 1001100110010        | 3731
BRUTUS               | 286        | 1001100101011        | 3718
sea                  | 285        | 1001100101010        | 3705
ring                 | 285        | 1001100101001        | 3705
war                  | 284        | 1001100010010        | 3692
welcome              | 284        | 1001100010011        | 3692
lost                 | 284        | 1001100010111        | 3692
