Huffman Encoding Report (Word-Level)
Total Tokens: 151296
Unique Symbols: 286
================================================================================
Symbol               | Frequency  | Code                 | Bits Used
lab                  | 96         | 11101100101          | 1056
expand               | 96         | 11101100100          | 1056
their                | 96         | 11110000111          | 1056
into                 | 96         | 11110000110          | 1056
determining          | 96         | 11100101101          | 1056
timing               | 96         | 11100101100          | 1056
mattered             | 96         | 11110000011          | 1056
binding              | 96         | 11110000010          | 1056
site                 | 96         | 11101101101          | 1056
drugs                | 96         | 11101101100          | 1056
alter                | 96         | 11101001011          | 1056
Through              | 96         | 11101001010          | 1056
realized             | 96         | 11100110111          | 1056
ambition             | 96         | 11100110110          | 1056
career               | 96         | 11100101001          | 1056
always               | 96         | 11100101000          | 1056
knew                 | 96         | 11011011110          | 1056
want                 | 96         | 11110111110          | 1056
future               | 96         | 11101101111          | 1056
exciting             | 96         | 11101101110          | 1056
where                | 96         | 11100011001          | 1056
discoveries          | 96         | 11101111011          | 1056
are                  | 96         | 11101111010          | 1056
limitless            | 96         | 11101001101          | 1056
captured             | 96         | 11101001100          | 1056
heart                | 96         | 11110111101          | 1056
offered              | 96         | 11110111100          | 1056
long                 | 96         | 11101101011          | 1056
job                  | 96         | 11101101010          | 1056
despite              | 96         | 11011011111          | 1056
obligations          | 96         | 11101011011          | 1056
senior               | 96         | 11100010011          | 1056
preparing            | 96         | 11100010010          | 1056
couldn               | 96         | 11100010001          | 1056
give                 | 96         | 11101000111          | 1056
up                   | 96         | 11100010000          | 1056
offer                | 96         | 11101001001          | 1056
so                   | 96         | 11101001000          | 1056
during               | 96         | 11100011000          | 1056
will                 | 96         | 11100011011          | 1056
be                   | 96         | 11100011010          | 1056
further              | 96         | 11101111111          | 1056
both                 | 96         | 11101111110          | 1056
interest             | 96         | 11101010011          | 1056
nanotechnology       | 96         | 11101010010          | 1056

================================================================================
Original size (symbol-based bits): 2420736
Compressed size (symbol-based bits): 752592
Estimated compression ratio: 68.91%
